Start recording training loss ...
1	loss:3.6855445703871603	lfcc_fcloss:0.08748654317193176	cqt_fcloss:0.06020731066281922	lfcc_ftcloss:1.767593895157879		cqt_ftcloss:1.7702568200433284	
2	loss:3.6028557015906655	lfcc_fcloss:0.014230778949248648	cqt_fcloss:0.01591518029920137	lfcc_ftcloss:1.7836184543686489	cqt_ftcloss:1.7890912914456287	
3	loss:3.599863774530233	lfcc_fcloss:0.007656670122390415	cqt_fcloss:0.01030826454789761	lfcc_ftcloss:1.7911757443954122	cqt_ftcloss:1.7907230921596364	
4	loss:3.588376352408671	lfcc_fcloss:0.0069062287090280745	cqt_fcloss:0.009777180109382192	lfcc_ftcloss:1.7819301858356678	cqt_ftcloss:1.7897627583378808	
5	loss:3.5947224394200132	lfcc_fcloss:0.005887693735455747	cqt_fcloss:0.008557577526862335	lfcc_ftcloss:1.7911935502696097	cqt_ftcloss:1.7890836105538857	
6	loss:3.5891744294755106	lfcc_fcloss:0.0037379264048593244	cqt_fcloss:0.006683913135938502	lfcc_ftcloss:1.7902188141940523	cqt_ftcloss:1.78853377061767	
7	loss:3.5948426603370107	lfcc_fcloss:0.006736575297047928	cqt_fcloss:0.006093388118490274	lfcc_ftcloss:1.7917950585747247	cqt_ftcloss:1.790217630058452	
8	loss:3.5857657050005436	lfcc_fcloss:0.0029113028791384597	cqt_fcloss:0.0042337754816849605	lfcc_ftcloss:1.7919375470062948	cqt_ftcloss:1.7866830749235465	
9	loss:3.5904181429961466	lfcc_fcloss:0.0047331697738970365	cqt_fcloss:0.005719106259373926	lfcc_ftcloss:1.7918161779867312	cqt_ftcloss:1.7881496914988502	
10	loss:3.5874447474251467	lfcc_fcloss:0.0025765179985549973	cqt_fcloss:0.004781850384234767	lfcc_ftcloss:1.7900925777120613	cqt_ftcloss:1.7899938015553454	
11	loss:3.5891464333089833	lfcc_fcloss:0.004880842814724324	cqt_fcloss:0.0029929856864255723	lfcc_ftcloss:1.7905082009000801	cqt_ftcloss:1.7907644049346596	
